,5.0,50.0,95.0
1.0,5.489657,5.546567,5.617473
2.0,5.601257,5.658167,5.729073
5.0,5.746057,5.802967,5.873873
10.0,5.854457,5.9113674,5.982273
20.0,5.961857,6.0187674,6.089673
25.0,5.996157,6.053067,6.1239734
50.0,6.1043572,6.1612673,6.2321734
75.0,6.166257,6.2231674,6.294073
100.0,6.210857,6.267767,6.338673
150.0,6.274057,6.330967,6.401873
200.0,6.317157,6.3740673,6.444973
250.0,6.352757,6.409667,6.480573
300.0,6.380957,6.437867,6.5087733
500.0,6.458457,6.5153675,6.586273
1000.0,6.569157,6.626067,6.6969733
10000.0,6.962957,7.019867,7.090773
