,5.0,50.0,95.0
1.0,7.5424523,7.637083,7.771649
2.0,7.6494527,7.7440834,7.878649
5.0,7.7908525,7.8854833,8.020049
10.0,7.8995523,7.9941826,8.12875
20.0,8.011152,8.105783,8.240349
25.0,8.047653,8.142283,8.27685
50.0,8.165453,8.260083,8.3946495
75.0,8.236853,8.331483,8.466049
100.0,8.289053,8.383683,8.5182495
150.0,8.366253,8.460883,8.595449
200.0,8.422153,8.516784,8.65135
250.0,8.465952,8.560583,8.695148
300.0,8.502552,8.597183,8.731749
500.0,8.608553,8.703183,8.8377495
1000.0,8.763453,8.858084,8.992649
10000.0,9.338453,9.433084,9.56765
