,5.0,50.0,95.0
1.0,5.913458,6.158541,6.5238314
2.0,6.025058,6.270141,6.6354313
5.0,6.169858,6.4149413,6.7802315
10.0,6.278258,6.523341,6.888631
20.0,6.385658,6.630741,6.996031
25.0,6.419958,6.6650414,7.0303316
50.0,6.528158,6.7732415,7.1385317
75.0,6.590058,6.835141,7.200431
100.0,6.634658,6.879741,7.2450314
150.0,6.697858,6.942941,7.3082314
200.0,6.7409577,6.986041,7.3513308
250.0,6.776558,7.0216413,7.3869314
300.0,6.804758,7.0498414,7.4151316
500.0,6.882258,7.1273413,7.492631
1000.0,6.992958,7.2380414,7.6033316
10000.0,7.386758,7.631841,7.9971313
