,5.0,50.0,95.0
1.0,5.6025095,5.697188,5.831831
2.0,5.7141094,5.808788,5.943431
5.0,5.8589096,5.953588,6.088231
10.0,5.967309,6.061988,6.1966305
20.0,6.074709,6.169388,6.3040304
25.0,6.1090097,6.203688,6.338331
50.0,6.21721,6.311888,6.4465313
75.0,6.279109,6.373788,6.5084305
100.0,6.3237095,6.418388,6.553031
150.0,6.3869095,6.481588,6.616231
200.0,6.430009,6.524688,6.6593304
250.0,6.4656096,6.560288,6.694931
300.0,6.4938097,6.588488,6.723131
500.0,6.571309,6.665988,6.8006306
1000.0,6.6820097,6.776688,6.911331
10000.0,7.0758095,7.170488,7.305131
