,5.0,50.0,95.0
1.0,7.857889,8.102902,8.466611
2.0,7.9648895,8.209903,8.573611
5.0,8.106289,8.351303,8.715012
10.0,8.214989,8.460003,8.823711
20.0,8.32659,8.571603,8.935311
25.0,8.36309,8.608103,8.971811
50.0,8.480889,8.725903,9.089611
75.0,8.552289,8.797302,9.161011
100.0,8.604489,8.849503,9.213211
150.0,8.681689,8.9267025,9.290411
200.0,8.73759,8.982603,9.346312
250.0,8.781389,9.026402,9.390111
300.0,8.817989,9.063003,9.426711
500.0,8.923989,9.169003,9.532711
1000.0,9.07889,9.323903,9.687612
10000.0,9.65389,9.898903,10.262611
