,5.0,50.0,95.0
1.0,7.4278975,7.489817,7.5591183
2.0,7.534898,7.5968175,7.6661186
5.0,7.676298,7.7382174,7.8075185
10.0,7.784998,7.846917,7.9162183
20.0,7.896598,7.9585176,8.027819
25.0,7.933098,7.9950175,8.06432
50.0,8.050898,8.112818,8.182119
75.0,8.122297,8.184217,8.253519
100.0,8.174498,8.236418,8.305719
150.0,8.251698,8.313618,8.382919
200.0,8.307598,8.369518,8.43882
250.0,8.351398,8.413317,8.482618
300.0,8.387999,8.449917,8.519218
500.0,8.493998,8.555918,8.625219
1000.0,8.648899,8.710817,8.780119
10000.0,9.223898,9.285818,9.35512
