,5.0,50.0,95.0
1.0,5.766666,5.9506903,6.2425246
2.0,5.878266,6.06229,6.3541245
5.0,6.023066,6.2070904,6.4989247
10.0,6.131466,6.3154907,6.6073246
20.0,6.238866,6.4228907,6.7147245
25.0,6.273166,6.4571905,6.749025
50.0,6.3813663,6.5653906,6.857225
75.0,6.443266,6.6272907,6.9191246
100.0,6.487866,6.6718903,6.9637246
150.0,6.551066,6.7350903,7.0269246
200.0,6.594166,6.7781906,7.0700245
250.0,6.629766,6.8137903,7.1056247
300.0,6.657966,6.8419905,7.133825
500.0,6.735466,6.919491,7.2113247
1000.0,6.846166,7.0301905,7.322025
10000.0,7.239966,7.4239902,7.7158246
