,5.0,50.0,95.0
1.0,7.427541,7.4845233,7.5554695
2.0,7.534541,7.5915236,7.66247
5.0,7.6759405,7.7329235,7.8038697
10.0,7.7846403,7.8416233,7.9125695
20.0,7.896241,7.9532237,8.02417
25.0,7.932741,7.9897237,8.06067
50.0,8.050541,8.107523,8.17847
75.0,8.121941,8.178923,8.249869
100.0,8.174141,8.231123,8.30207
150.0,8.251341,8.308323,8.37927
200.0,8.307241,8.3642235,8.43517
250.0,8.351041,8.408024,8.47897
300.0,8.387641,8.444624,8.51557
500.0,8.493641,8.550623,8.62157
1000.0,8.648541,8.705524,8.77647
10000.0,9.223541,9.280523,9.35147
