,5.0,50.0,95.0
1.0,5.6361904,5.7440333,5.8830414
2.0,5.7477903,5.8556333,5.9946413
5.0,5.8925905,6.0004334,6.1394415
10.0,6.00099,6.1088333,6.247841
20.0,6.10839,6.2162333,6.355241
25.0,6.1426907,6.2505336,6.3895416
50.0,6.2508907,6.3587337,6.4977417
75.0,6.31279,6.4206333,6.559641
100.0,6.3573904,6.4652333,6.6042414
150.0,6.4205904,6.5284333,6.6674414
200.0,6.46369,6.571533,6.710541
250.0,6.4992905,6.6071334,6.7461414
300.0,6.5274906,6.6353335,6.7743416
500.0,6.60499,6.7128334,6.851841
1000.0,6.7156906,6.8235335,6.9625416
10000.0,7.1094904,7.2173333,7.3563414
