,5.0,50.0,95.0
1.0,7.710127,7.8938065,8.184123
2.0,7.817127,8.000807,8.291123
5.0,7.9585276,8.142206,8.432524
10.0,8.067227,8.250906,8.541224
20.0,8.178827,8.362507,8.652823
25.0,8.215327,8.399007,8.689323
50.0,8.333127,8.516807,8.807123
75.0,8.404527,8.588206,8.878523
100.0,8.456727,8.640407,8.930723
150.0,8.533927,8.717607,9.007923
200.0,8.589828,8.773507,9.063824
250.0,8.633627,8.8173065,9.107623
300.0,8.670227,8.853907,9.144223
500.0,8.776227,8.959907,9.250223
1000.0,8.931128,9.114807,9.405124
10000.0,9.506127,9.689807,9.9801235
