,5.0,50.0,95.0
1.0,7.5306416,7.6202664,7.742774
2.0,7.637642,7.727267,7.8497744
5.0,7.779042,7.8686666,7.991174
10.0,7.8877416,7.9773664,8.0998745
20.0,7.999342,8.088966,8.211474
25.0,8.035842,8.125467,8.247974
50.0,8.153642,8.243267,8.365774
75.0,8.225041,8.314667,8.437174
100.0,8.277242,8.366867,8.489374
150.0,8.354442,8.444067,8.566574
200.0,8.410342,8.499968,8.622475
250.0,8.454142,8.543766,8.666274
300.0,8.490742,8.580366,8.702874
500.0,8.596742,8.686367,8.808874
1000.0,8.751642,8.841267,8.963775
10000.0,9.326642,9.416267,9.5387745
