,5.0,50.0,95.0
1.0,5.5906525,5.6803308,5.8030405
2.0,5.7022524,5.7919307,5.9146404
5.0,5.8470526,5.936731,6.0594406
10.0,5.955452,6.0451307,6.16784
20.0,6.062852,6.1525307,6.27524
25.0,6.0971527,6.186831,6.3095407
50.0,6.205353,6.295031,6.417741
75.0,6.267252,6.3569307,6.47964
100.0,6.3118525,6.4015307,6.5242405
150.0,6.3750525,6.4647307,6.5874405
200.0,6.418152,6.5078306,6.63054
250.0,6.4537525,6.543431,6.6661406
300.0,6.4819527,6.571631,6.6943407
500.0,6.559452,6.649131,6.77184
1000.0,6.6701527,6.759831,6.8825407
10000.0,7.0639524,7.1536307,7.2763405
