,5.0,50.0,95.0
1.0,5.703474,5.866233,6.1293845
2.0,5.815074,5.977833,6.2409844
5.0,5.959874,6.122633,6.3857846
10.0,6.0682745,6.231033,6.4941845
20.0,6.1756744,6.338433,6.6015844
25.0,6.2099743,6.372733,6.635885
50.0,6.3181744,6.480933,6.744085
75.0,6.3800745,6.542833,6.8059845
100.0,6.424674,6.587433,6.8505845
150.0,6.487874,6.650633,6.9137845
200.0,6.5309744,6.6937327,6.9568844
250.0,6.566574,6.729333,6.9924846
300.0,6.5947742,6.757533,7.0206847
500.0,6.6722746,6.835033,7.0981846
1000.0,6.7829742,6.945733,7.2088847
10000.0,7.176774,7.339533,7.6026845
