,5.0,50.0,95.0
1.0,5.489947,5.5518084,5.621123
2.0,5.601547,5.6634083,5.7327228
5.0,5.746347,5.8082085,5.877523
10.0,5.854747,5.9166083,5.985923
20.0,5.9621468,6.0240083,6.0933228
25.0,5.996447,6.0583086,6.127623
50.0,6.104647,6.1665087,6.235823
75.0,6.166547,6.2284083,6.297723
100.0,6.211147,6.2730083,6.342323
150.0,6.274347,6.3362083,6.405523
200.0,6.3174467,6.379308,6.4486227
250.0,6.353047,6.4149084,6.484223
300.0,6.381247,6.4431086,6.512423
500.0,6.458747,6.5206084,6.589923
1000.0,6.569447,6.6313086,6.700623
10000.0,6.963247,7.0251083,7.094423
