,5.0,50.0,95.0
1.0,7.576277,7.6841254,7.8227205
2.0,7.683277,7.791126,7.929721
5.0,7.824677,7.9325256,8.071121
10.0,7.933377,8.041225,8.179821
20.0,8.044977,8.152826,8.291422
25.0,8.081477,8.189325,8.327921
50.0,8.199277,8.307125,8.445721
75.0,8.270677,8.378525,8.51712
100.0,8.322877,8.430725,8.569321
150.0,8.400077,8.507925,8.646521
200.0,8.455977,8.563826,8.702421
250.0,8.499777,8.607626,8.746222
300.0,8.536377,8.644226,8.782822
500.0,8.642377,8.750225,8.888821
1000.0,8.797277,8.905127,9.043722
10000.0,9.372277,9.480125,9.618721
